,Book Name,Book Price,Ratings,Availability
0,A Light in the ...,£51.77,Three,In stock
1,Tipping the Velvet,£53.74,One,In stock
2,Soumission,£50.10,One,In stock
3,Sharp Objects,£47.82,Four,In stock
4,Sapiens: A Brief History ...,£54.23,Five,In stock
5,The Requiem Red,£22.65,One,In stock
6,The Dirty Little Secrets ...,£33.34,Four,In stock
7,The Coming Woman: A ...,£17.93,Three,In stock
8,The Boys in the ...,£22.60,Four,In stock
9,The Black Maria,£52.15,One,In stock
10,Starving Hearts (Triangular Trade ...,£13.99,Two,In stock
11,Shakespeare's Sonnets,£20.66,Four,In stock
12,Set Me Free,£17.46,Five,In stock
13,Scott Pilgrim's Precious Little ...,£52.29,Five,In stock
14,Rip it Up and ...,£35.02,Five,In stock
15,Our Band Could Be ...,£57.25,Three,In stock
16,Olio,£23.88,One,In stock
17,Mesaerion: The Best Science ...,£37.59,One,In stock
18,Libertarianism for Beginners,£51.33,Two,In stock
19,It's Only the Himalayas,£45.17,Two,In stock
20,In Her Wake,£12.84,One,In stock
21,How Music Works,£37.32,Two,In stock
22,Foolproof Preserving: A Guide ...,£30.52,Three,In stock
23,Chase Me (Paris Nights ...,£25.27,Five,In stock
24,Black Dust,£34.53,Five,In stock
25,Birdsong: A Story in ...,£54.64,Three,In stock
26,America's Cradle of Quarterbacks: ...,£22.50,Three,In stock
27,Aladdin and His Wonderful ...,£53.13,Three,In stock
28,Worlds Elsewhere: Journeys Around ...,£40.30,Five,In stock
29,Wall and Piece,£44.18,Four,In stock
30,The Four Agreements: A ...,£17.66,Five,In stock
31,The Five Love Languages: ...,£31.05,Three,In stock
32,The Elephant Tree,£23.82,Five,In stock
33,The Bear and the ...,£36.89,One,In stock
34,Sophie's World,£15.94,Five,In stock
35,Penny Maybe,£33.29,Three,In stock
36,Maude (1883-1993):She Grew Up ...,£18.02,Two,In stock
37,"In a Dark, Dark ...",£19.63,One,In stock
38,Behind Closed Doors,£52.22,Four,In stock
39,You can't bury them ...,£33.63,Two,In stock
40,Slow States of Collapse: ...,£57.31,Three,In stock
41,Reasons to Stay Alive,£26.41,Two,In stock
42,Private Paris (Private #10),£47.61,Five,In stock
43,#HigherSelfie: Wake Up Your ...,£23.11,Five,In stock
44,Without Borders (Wanderlove #1),£45.07,Two,In stock
45,When We Collided,£31.77,One,In stock
46,"We Love You, Charlie ...",£50.27,Five,In stock
47,Untitled Collection: Sabbath Poems ...,£14.27,Four,In stock
48,Unseen City: The Majesty ...,£44.18,Four,In stock
49,Unicorn Tracks,£18.78,Three,In stock
50,Unbound: How Eight Technologies ...,£25.52,One,In stock
51,Tsubasa: WoRLD CHRoNiCLE 2 ...,£16.28,One,In stock
52,Throwing Rocks at the ...,£31.12,Three,In stock
53,This One Summer,£19.49,Four,In stock
54,Thirst,£17.27,Five,In stock
55,The Torch Is Passed: ...,£19.09,One,In stock
